"time","DC Current","AC Current"
1786826409411,0,0
1786826409437,0,0
1786826409463,0,0
1786826409489,0,0
1786826409515,0,0
1786826409541,0,0
1786826409567,0,0
1786826409593,0,0
1786826409619,0,0
1786826409645,0,0
1786826409671,0,0
1786826409698,0,0
1786826409724,0,0
1786826409750,0,0
1786826409776,0,0
1786826409802,0,0
1786826409828,0,0
1786826409854,0,0
1786826409880,0,0
1786826409906,0,0
1786826409932,0,0
1786826409958,0,0
1786826409984,0,0
1786826410010,0,0
1786826410036,0,0
1786826410062,0,0
1786826410088,0,0
1786826410115,0,0
1786826410141,0,0
1786826410167,0,0
1786826410193,0,0
1786826410219,0,0
1786826410246,0,0
1786826410272,0,0
1786826410298,0,0
1786826410324,0,0
1786826410350,0,0
1786826410376,0,0
1786826410402,0,0
1786826410428,0,0
1786826410454,0,0
1786826410480,0,0
1786826410506,0,0
1786826410532,0,0
1786826410558,0,0
1786826410584,0,0
1786826410610,0,0
1786826410636,0,0
1786826410662,0,0
1786826410689,0,0
1786826410715,0,0
1786826410741,0,0
1786826410767,0,0
1786826410793,0,0
1786826410820,0,0
1786826410846,0,0
1786826410872,0,0
1786826410898,0,0
1786826410924,0,0
1786826410950,0,0
1786826410976,0,0
1786826411002,0,0
1786826411028,0,0
1786826411054,0,0
1786826411081,0,0
1786826411107,0,0
1786826411133,0,0
1786826411159,0,0
1786826411185,0,0
1786826411211,0,0
1786826411238,0,0
1786826411264,0,0
1786826411290,0,0
1786826411316,0,0
1786826411343,0,0
1786826411369,0,0
1786826411395,0,0
1786826411421,0,0
1786826411447,0,0
1786826411473,0,0
1786826411499,0,0
1786826411525,0,0
1786826411551,0,0
1786826411577,0,0
1786826411603,0,0
1786826411629,0,0
1786826411656,0,0
1786826411682,0,0
1786826411708,0,0
1786826411734,0,0
1786826411760,0,0
1786826411786,0,0
1786826411812,0,0
1786826411838,0,0
1786826411864,0,0
1786826411890,0,0
1786826411916,0,0
1786826411942,0,0
1786826411968,0,0
1786826411994,0,0
1786826412021,0,0
1786826412047,0,0
1786826412073,0,0
1786826412099,0,0
1786826412125,0,0
1786826412151,0,0
1786826412177,0,0
1786826412203,0,0
1786826412230,0,0
1786826412256,0,0
1786826412282,0,0
1786826412308,0,0
1786826412334,0,0
1786826412360,0,0
1786826412387,0,0
1786826412413,0,0
1786826412439,0,0
1786826412465,0,0
1786826412491,0,0
1786826412517,0,0
1786826412543,0,0
1786826412569,0,0
1786826412596,0,0
1786826412622,0,0
1786826412648,0,0
1786826412674,0,0
1786826412700,0,0
1786826412726,0,0
1786826412752,0,0
1786826412778,0,0
1786826412805,0,0
1786826412831,0,0
1786826412857,0,0
1786826412883,0,0
1786826412909,0,0
1786826412935,0,0
1786826412961,0,0
1786826412987,0,0
1786826413013,0,0
1786826413039,0,0
1786826413066,0,0
1786826413092,0,0
1786826413118,0,0
1786826413144,0,0
1786826413170,0,0
1786826413197,0,0
1786826413224,0,0
1786826413250,0,0
1786826413276,0,0
1786826413302,0,0
1786826413328,0,0
1786826413354,0,0
1786826413381,0,0
1786826413407,0,0
1786826413433,0,0
1786826413459,0,0
1786826413486,0,0
1786826413513,0,0
1786826413539,0,0
1786826413565,0,0
1786826413591,0,0
1786826413617,0,0
1786826413644,0,0
1786826413670,0,0
1786826413696,0,0
1786826413722,0,0
1786826413748,0,0
1786826413774,0,0
1786826413800,0,0
1786826413826,0,0
1786826413853,0,0
1786826413879,0,0
1786826413905,0,0
1786826413931,0,0
1786826413957,0,0
1786826413983,0,0
1786826414009,0,0
1786826414035,0,0
1786826414061,0,0
1786826414088,0,0
1786826414114,0,0
1786826414140,0,0
1786826414166,0,0
1786826414192,0,0
1786826414218,0,0
1786826414244,0,0
1786826414270,0,0
1786826414296,0,0
1786826414323,0,0
1786826414349,0,0
1786826414375,0,0
1786826414401,0,0
1786826414427,0,0
1786826414453,0,0
1786826414479,0,0
1786826414505,0,0
1786826414531,0,0
1786826414557,0,0
1786826414584,0,0
1786826414610,0,0
1786826414636,0,0
1786826414662,0,0
1786826414688,0,0
1786826414714,0,0
1786826414740,0,0
1786826414767,0,0
1786826414793,0,0
1786826414819,0,0
1786826414845,0,0
1786826414871,0,0
1786826414897,0,0
1786826414923,0,0
1786826414949,0,0
1786826414975,0,0
1786826415002,0,0
1786826415028,0,0
1786826415054,0,0
1786826415080,0,0
1786826415106,0,0
1786826415132,0,0
1786826415158,0,0
1786826415184,0,0
1786826415210,0,0
1786826415237,0,0
1786826415263,0,0
1786826415289,0,0
1786826415315,0,0
1786826415341,0,0
1786826415368,0,0
1786826415394,0,0
1786826415420,0,0
1786826415446,0,0
1786826415472,0,0
1786826415498,0,0
1786826415524,0,0
1786826415550,0,0
1786826415576,0,0
1786826415602,0,0
1786826415628,0,0
1786826415656,0,0
1786826415682,0,0
1786826415708,0,0
1786826415734,0,0
1786826415761,0,0
1786826415787,0,0
1786826415813,0,0
1786826415839,0,0
1786826415865,0,0
1786826415891,0,0
1786826415918,0,0
1786826415944,0,0
1786826415970,0,0
1786826415996,0,0
1786826416022,0,0
1786826416048,0,0
1786826416075,0,0
1786826416101,0,0
1786826416127,0,0
1786826416153,0,0
1786826416179,0,0
1786826416205,0,0
1786826416231,0,0
1786826416257,0,0
1786826416283,0,0
1786826416309,0,0
1786826416335,0,0
1786826416362,0,0
1786826416388,0,0
1786826416414,0,0
1786826416440,0,0
1786826416466,0,0
1786826416492,0,0
1786826416518,0,0
1786826416544,0,0
1786826416570,0,0
1786826416596,0,0
1786826416623,0,0
1786826416649,0,0
1786826416675,0,0
1786826416701,0,0
1786826416727,0,0
1786826416753,0,0
1786826416779,0,0
1786826416805,0,0
1786826416832,0,0
1786826416858,0,0
1786826416884,0,0
1786826416910,0,0
1786826416936,0,0
1786826416962,0,0
1786826416989,0,0
1786826417015,0,0
1786826417041,0,0
1786826417067,0,0
1786826417093,0,0
1786826417119,0,0
1786826417145,0,0
1786826417171,0,0
1786826417197,0,0
1786826417224,0,0
1786826417250,0,0
1786826417276,0,0
1786826417302,0,0
1786826417328,0,0
1786826417354,0,0
1786826417380,0,0
1786826417406,0,0
1786826417432,0,0
1786826417458,0,0
1786826417485,0,0
1786826417511,0,0
1786826417537,0,0
1786826417563,0,0
1786826417589,0,0
1786826417615,0,0
1786826417641,0,0
1786826417667,0,0
1786826417694,0,0
1786826417720,0,0
1786826417746,0,0
1786826417772,0,0
1786826417798,0,0
1786826417824,0,0
1786826417850,0,0
1786826417876,0,0
1786826417902,0,0
1786826417928,0,0
1786826417954,0,0
1786826417980,0,0
1786826418007,0,0
1786826418033,0,0
1786826418059,0,0
1786826418085,0,0
1786826418111,0,0
1786826418138,0,0
1786826418163,0,0
1786826418189,0,0
1786826418216,0,0
1786826418242,0,0
1786826418268,0,0
1786826418294,0,0
1786826418320,0,0
1786826418346,0,0
1786826418373,0,0
1786826418399,0,0
1786826418425,0,0
1786826418451,0,0
1786826418477,0,0
1786826418503,0,0
1786826418529,0,0
1786826418555,0,0
1786826418581,0,0
1786826418607,0,0
1786826418633,0,0
1786826418659,0,0
1786826418685,0,0
1786826418712,0,0
1786826418738,0,0
1786826418764,0,0
1786826418790,0,0
1786826418816,0,0
1786826418842,0,0
1786826418868,0,0
1786826418894,0,0
1786826418920,0,0
1786826418946,0,0
1786826418972,0,0
1786826418998,0,0
1786826419024,0,0
1786826419051,0,0
1786826419077,0,0
1786826419103,0,0
1786826419129,0,-0.2
1786826419155,0.1,4.6
1786826419181,1.4,25.2
1786826419207,2.5,43.9
1786826419233,4.8,81.4
1786826419260,2.1,61
1786826419286,0,0
