"DTI Voltage","time"
490,1786826022616
490,1786826022642
491,1786826022668
490,1786826022694
491,1786826022719
491,1786826022746
492,1786826022772
492,1786826022798
491,1786826022824
492,1786826022850
491,1786826022876
492,1786826022903
492,1786826022929
493,1786826022955
493,1786826022981
493,1786826023006
494,1786826023033
493,1786826023059
493,1786826023085
494,1786826023111
495,1786826023137
495,1786826023164
496,1786826023190
495,1786826023216
495,1786826023242
495,1786826023269
495,1786826023295
496,1786826023321
496,1786826023347
496,1786826023373
498,1786826023399
497,1786826023425
498,1786826023451
498,1786826023477
497,1786826023503
498,1786826023529
498,1786826023555
497,1786826023581
496,1786826023607
497,1786826023633
496,1786826023659
497,1786826023685
498,1786826023712
498,1786826023738
498,1786826023764
498,1786826023790
498,1786826023816
499,1786826023842
497,1786826023868
498,1786826023894
497,1786826023920
497,1786826023946
496,1786826023972
495,1786826023998
494,1786826024024
494,1786826024050
493,1786826024077
493,1786826024103
494,1786826024129
493,1786826024155
492,1786826024181
493,1786826024208
493,1786826024234
492,1786826024260
492,1786826024286
489,1786826024312
490,1786826024338
490,1786826024364
490,1786826024390
489,1786826024417
489,1786826024443
488,1786826024469
487,1786826024495
487,1786826024521
487,1786826024548
486,1786826024574
486,1786826024601
488,1786826024627
486,1786826024653
485,1786826024679
486,1786826024705
485,1786826024731
484,1786826024757
485,1786826024783
485,1786826024809
487,1786826024835
488,1786826024862
488,1786826024888
489,1786826024914
488,1786826024940
489,1786826024967
487,1786826024993
488,1786826025019
488,1786826025045
487,1786826025071
486,1786826025098
486,1786826025124
487,1786826025150
487,1786826025176
485,1786826025202
486,1786826025228
485,1786826025254
488,1786826025280
486,1786826025306
487,1786826025333
488,1786826025359
487,1786826025385
487,1786826025411
489,1786826025437
491,1786826025464
490,1786826025490
491,1786826025516
491,1786826025543
491,1786826025569
491,1786826025595
491,1786826025621
492,1786826025647
494,1786826025673
495,1786826025699
495,1786826025725
496,1786826025751
495,1786826025778
496,1786826025805
497,1786826025831
497,1786826025857
498,1786826025883
498,1786826025909
498,1786826025935
498,1786826025962
499,1786826025988
501,1786826026014
504,1786826026041
503,1786826026067
498,1786826026093
498,1786826026119
498,1786826026145
500,1786826026171
501,1786826026198
505,1786826026224
502,1786826026250
502,1786826026276
502,1786826026302
502,1786826026329
503,1786826026355
502,1786826026382
502,1786826026408
502,1786826026434
502,1786826026460
499,1786826026486
498,1786826026513
498,1786826026539
498,1786826026565
498,1786826026591
498,1786826026618
498,1786826026645
499,1786826026672
498,1786826026698
497,1786826026724
497,1786826026750
497,1786826026777
497,1786826026803
498,1786826026829
498,1786826026855
498,1786826026881
