"voltage","time"
25.263,1786825775877
25.263,1786825775764
25.227,1786825775637
25.227,1786825775525
25.227,1786825775413
25.227,1786825775303
25.227,1786825774953
25.227,1786825774839
25.227,1786825774726
25.227,1786825774615
25.227,1786825774379
25.227,1786825774267
25.227,1786825774155
25.227,1786825774043
25.227,1786825773804
25.227,1786825773692
25.227,1786825773580
25.227,1786825773468
25.245,1786825773341
25.245,1786825773229
25.245,1786825773118
25.245,1786825773006
25.245,1786825772894
25.245,1786825772543
25.245,1786825772431
25.245,1786825772319
25.218,1786825772192
25.218,1786825772080
25.218,1786825771968
25.218,1786825771856
25.218,1786825771627
25.218,1786825771505
25.218,1786825771393
25.218,1786825771281
25.218,1786825771169
25.218,1786825771052
25.236,1786825770930
25.236,1786825770706
25.236,1786825770594
25.236,1786825770476
25.236,1786825770354
25.236,1786825770242
25.236,1786825770130
25.236,1786825770018
25.236,1786825769901
25.209,1786825769667
25.209,1786825769555
25.209,1786825769326
25.209,1786825769204
25.209,1786825769092
25.209,1786825768980
25.209,1786825768868
25.209,1786825768751
25.245,1786825768629
25.245,1786825768517
25.245,1786825768405
25.245,1786825768288
25.245,1786825768176
25.245,1786825767942
25.245,1786825767830
25.245,1786825767713
25.245,1786825767601
25.254,1786825767479
25.254,1786825767367
25.254,1786825767255
25.254,1786825767138
25.254,1786825767026
25.254,1786825766904
25.254,1786825766790
25.254,1786825766680
25.254,1786825766563
25.254,1786825766451
25.245,1786825766339
25.245,1786825766217
25.245,1786825766103
25.245,1786825765991
25.245,1786825765874
25.245,1786825765762
25.245,1786825765528
25.245,1786825765411
25.245,1786825765301
25.245,1786825765188
25.263,1786825765066
25.263,1786825764954
25.263,1786825764837
25.263,1786825764725
25.263,1786825764613
25.263,1786825764491
25.263,1786825764379
25.263,1786825764150
25.263,1786825764038
25.218,1786825763804
25.218,1786825763687
25.218,1786825763463
25.218,1786825763229
25.182,1786825762767
25.182,1786825762538
25.182,1786825762426
25.182,1786825762314
25.182,1786825762192
25.182,1786825761964
25.182,1786825761852
25.182,1786825761740
25.2,1786825761618
25.2,1786825761506
25.2,1786825761391
25.2,1786825761279
25.2,1786825761167
25.2,1786825761055
25.2,1786825760933
25.2,1786825760817
25.2,1786825760705
25.2,1786825760591
25.2,1786825760481
25.299,1786825760357
25.299,1786825760240
25.299,1786825760128
25.299,1786825760018
25.299,1786825759905
25.299,1786825759783
25.299,1786825759669
25.299,1786825759557
25.299,1786825759445
